#,Chemical,Purpose,Vendor,SDS Sheet,Expected PDF Filename,Expected GitHub Path
1,Pathways Beverage Drain Control,Drain Cleaner,ECOLAB,YES,pathways-beverage-drain-control.pdf,sds/pathways-beverage-drain-control.pdf
2,Greasestrip Plus,Degreaser,ECOLAB,YES,greasestrip-plus.pdf,sds/greasestrip-plus.pdf
3,Ecotamp Ultra Dry,Rinse Additive,ECOLAB,YES,ecotamp-ultra-dry.pdf,sds/ecotamp-ultra-dry.pdf
4,Pantastic,Manual WareWashing Detergent,ECOLAB,YES,pantastic.pdf,sds/pantastic.pdf
5,Oasis 146 Liquid Sanatizer,Sanitizer,ECOLAB,YES,oasis-146-liquid-sanatizer.pdf,sds/oasis-146-liquid-sanatizer.pdf
6,Trupower Dishmachine Detergent All Purpose,Detergent,ECOLAB,YES,trupower-dishmachine-detergent-all-purpose.pdf,sds/trupower-dishmachine-detergent-all-purpose.pdf
7,Jet Dry E,Rinse Additive,ECOLAB,YES,jet-dry-e.pdf,sds/jet-dry-e.pdf
8,Advance Antibacterial,Hand Soap,ECOLAB,YES,advance-antibacterial.pdf,sds/advance-antibacterial.pdf
9,Clear Coffee,Coffee Cleaner,URNEX,YES,clear-coffee.pdf,sds/clear-coffee.pdf
10,Scotchgard,Fabric and Carpet Cleaner,3M,YES,scotchgard.pdf,sds/scotchgard.pdf
11,URM and Brewer Cleaner,Coffee System Cleaner,URNEX,YES,urm-and-brewer-cleaner.pdf,sds/urm-and-brewer-cleaner.pdf
12,Dip-it,All Puepose Cleaner,ECOLAB,YES,dip-it.pdf,sds/dip-it.pdf
13,Softsoap,Liquid Hand Soup,COLGATE-PALMOLIVE,YES,softsoap.pdf,sds/softsoap.pdf
14,Grease Express,Degreaser,ECOLAB,YES,grease-express.pdf,sds/grease-express.pdf
15,Rich Pink,Antibacterial Soap,GOJO,YES,rich-pink.pdf,sds/rich-pink.pdf
16,Medallion,Metal Polish,ECOLAB,YES,medallion.pdf,sds/medallion.pdf
17,Purell Surface Disnfectmt,Disinfectants,PURELL,YES,purell-surface-disnfectmt.pdf,sds/purell-surface-disnfectmt.pdf
18,Oasis pro Laundry,Air Freshener,ECOLAB,YES,oasis-pro-laundry.pdf,sds/oasis-pro-laundry.pdf
19,RAPID MULTI SURFACE DISINFECTANT CLEANER,Disinfectants,ECOLAB,YES,rapid-multi-surface-disinfectant-cleaner.pdf,sds/rapid-multi-surface-disinfectant-cleaner.pdf
20,Lime-A-way,Delimer,ECOLAB,YES,lime-a-way.pdf,sds/lime-a-way.pdf
21,LEMON-EZE,Cleaning,ECOLAB,YES,lemon-eze.pdf,sds/lemon-eze.pdf
22,Glass Cleanner,Glass Cleaner,ECOLAB,YES,glass-cleanner.pdf,sds/glass-cleanner.pdf
23,A-Salt,Urinal Drain Cleaning,STATE INDUST.,YES,a-salt.pdf,sds/a-salt.pdf
24,STAINBLASTER POWER PAK PLUS RECLAIM WHITE,Laundry Product,ECOLAB,YES,stainblaster-power-pak-plus-reclaim-white.pdf,sds/stainblaster-power-pak-plus-reclaim-white.pdf
25,STAINBLASTER MAKEUP REMOVER,Laundry Product,ECOLAB,YES,stainblaster-makeup-remover.pdf,sds/stainblaster-makeup-remover.pdf
26,Heavy Duty Alkaline,Disinfectants,ECOLAB,YES,heavy-duty-alkaline.pdf,sds/heavy-duty-alkaline.pdf
27,SOLID SURGE PLUS,Laundry detergent,ECOLAB,YES,solid-surge-plus.pdf,sds/solid-surge-plus.pdf
28,HIGH PERFORMANCE NEUTRAL FLOOR CLEANER,Floor Cleaner,ECOLAB,YES,high-performance-neutral-floor-cleaner.pdf,sds/high-performance-neutral-floor-cleaner.pdf
29,Zep Carpet Shampoo,Carpet Cleaner,ZEP INC,YES,zep-carpet-shampoo.pdf,sds/zep-carpet-shampoo.pdf
30,AQUANOMIC BIOCARE SOLID SOUR-SOFT,Laundry Product,ECOLAB,YES,aquanomic-biocare-solid-sour-soft.pdf,sds/aquanomic-biocare-solid-sour-soft.pdf
31,Eco shine,Metal Polish,ECOLAB,YES,eco-shine.pdf,sds/eco-shine.pdf
32,Zep Spary buff,Floor Cleaner,ZEP INC,YES,zep-spary-buff.pdf,sds/zep-spary-buff.pdf
33,Husky Uric Acid,Cleaner and odor eliminate,HUSKY,YES,husky-uric-acid.pdf,sds/husky-uric-acid.pdf
34,GREAT STUFF™,Foam sealants,GREAT STUFF,YES,great-stuff.pdf,sds/great-stuff.pdf
35,Accu-Tab®,Pool Chemical,ACCU-TAB,YES,accu-tab.pdf,sds/accu-tab.pdf
36,Mapelastic 400,Protection of concrete,MAPEI,YES,mapelastic-400.pdf,sds/mapelastic-400.pdf
37,LEMON LIFT,Cleaning,ECOLAB,YES,lemon-lift.pdf,sds/lemon-lift.pdf
38,Smoke Sabre,Smoke detector test,SABRE,YES,smoke-sabre.pdf,sds/smoke-sabre.pdf
39,ZEP INDUSTRIAL PURPLE DEGREASER & CLEANER,Dedreaser,ZEP INC,YES,zep-industrial-purple-degreaser-and-cleaner.pdf,sds/zep-industrial-purple-degreaser-and-cleaner.pdf
40,Echo Power Blend X,Cleaner burning,ECHO-USA,YES,echo-power-blend-x.pdf,sds/echo-power-blend-x.pdf
41,WD-40,Lubricant,WD-40,YES,wd-40.pdf,sds/wd-40.pdf
42,PTOUCH 2X +SSPR 6PK GLOSS WHITE,Paint,RUST-OLEUM,YES,ptouch-2x-plussspr-6pk-gloss-white.pdf,sds/ptouch-2x-plussspr-6pk-gloss-white.pdf
43,STRUST +SSPR 6PK GLOSS CRYSTAL CLEAR,Paint,RUST-OLEUM,YES,strust-plussspr-6pk-gloss-crystal-clear.pdf,sds/strust-plussspr-6pk-gloss-crystal-clear.pdf
44,FLEX SEAL CLEAR,Seals,FLEX SEAL,YES,flex-seal-clear.pdf,sds/flex-seal-clear.pdf
45,Brasso Metal Polish,Metal Polish,BRASSO,YES,brasso-metal-polish.pdf,sds/brasso-metal-polish.pdf
46,Restor-A-Finish,Varnish,HOWARD PROD.,YES,restor-a-finish.pdf,sds/restor-a-finish.pdf
47,Clear Care Plus with Hydraglyde,Cleaning,CLEAR CARE SOLUTION,YES,clear-care-plus-with-hydraglyde.pdf,sds/clear-care-plus-with-hydraglyde.pdf
48,Catalyst,Paint removers,TOUCHUPDIRECT,YES,catalyst.pdf,sds/catalyst.pdf
49,LIQUID ELECTRICAL TAPE 4 OZ,Wiring and electrical,Gardner Bender,YES,liquid-electrical-tape-4-oz.pdf,sds/liquid-electrical-tape-4-oz.pdf
50,DAP® PLASTIC WOOD®,Molding,DAP,YES,dap-plastic-wood.pdf,sds/dap-plastic-wood.pdf
51,H.B. 30 Ice Machine Cleaner,Cleaner,HYDRO BALANCE,YES,h-b-30-ice-machine-cleaner.pdf,sds/h-b-30-ice-machine-cleaner.pdf
52,Zip-Clean,Cleaner,ZEP INC,YES,zip-clean.pdf,sds/zip-clean.pdf
53,ENDUST,Cleaner,Endust for Electronics,YES,endust.pdf,sds/endust.pdf
54,UNVRSL SSPR 6PK HAMMER SILVER R,Paint,RUST-OLEUM,YES,unvrsl-sspr-6pk-hammer-silver-r.pdf,sds/unvrsl-sspr-6pk-hammer-silver-r.pdf
55,Fragrance Cube,Fragrance system,STATE INDUST.,YES,fragrance-cube.pdf,sds/fragrance-cube.pdf
56,PULL IT OUT,Cleaning,CHOMP!,YES,pull-it-out.pdf,sds/pull-it-out.pdf
57,GILA WINDOW FILM SOLUTION,Solution,GILA WINDOW F.,YES,gila-window-film-solution.pdf,sds/gila-window-film-solution.pdf
58,PRO 838 Heavy Duty Clear Adhesive,Wallcovering,ROMAN PROD.,YES,pro-838-heavy-duty-clear-adhesive.pdf,sds/pro-838-heavy-duty-clear-adhesive.pdf
59,BEHR PREMIUM™ Wood Stain & Finish ,Paint,BEHR,YES,behr-premium-wood-stain-and-finish.pdf,sds/behr-premium-wood-stain-and-finish.pdf
60,Gorilla 8 Oz Wood Glue,Glue,Gorilla,YES,gorilla-8-oz-wood-glue.pdf,sds/gorilla-8-oz-wood-glue.pdf
61,Klean Strip Odorless Mineral Spirits,Paint,KLEAN STRIP,YES,klean-strip-odorless-mineral-spirits.pdf,sds/klean-strip-odorless-mineral-spirits.pdf
62,GREAT STUFF PRO,Polyurethane Foam,GREAT STUFF,YES,great-stuff-pro.pdf,sds/great-stuff-pro.pdf
63,Ace Plumbers Putty,Seals,ACE,YES,ace-plumbers-putty.pdf,sds/ace-plumbers-putty.pdf
64,Pro treat 350 Condensation,HVAC,DICERSITECH,YES,pro-treat-350-condensation.pdf,sds/pro-treat-350-condensation.pdf
65,Lexel Clear Caulk,Caulking,LEXEL,YES,lexel-clear-caulk.pdf,sds/lexel-clear-caulk.pdf
66,DAP Kwik Seal Plus Premiun,Caulking,DAP,YES,dap-kwik-seal-plus-premiun.pdf,sds/dap-kwik-seal-plus-premiun.pdf
67,Loctite,Glue,LOCTITE,YES,loctite.pdf,sds/loctite.pdf
68,Liquid Nails heavy duty,Seals,LIQUID NAILS,YES,liquid-nails-heavy-duty.pdf,sds/liquid-nails-heavy-duty.pdf
69,Gorilla Heavy Duty Construction Adhesive Clear,Glue,Gorilla,YES,gorilla-heavy-duty-construction-adhesive-clear.pdf,sds/gorilla-heavy-duty-construction-adhesive-clear.pdf
70,Otey CPVC,CPVC Glue,OTEY,YES,otey-cpvc.pdf,sds/otey-cpvc.pdf
71,Dynaflex 230 - All Colors,Caulking,DAP,YES,dynaflex-230-all-colors.pdf,sds/dynaflex-230-all-colors.pdf
72,Woolite Carpet,Cleaner,BISSELL,YES,woolite-carpet.pdf,sds/woolite-carpet.pdf
73,Five Star,Five Star,FIVE STAR,YES,five-star.pdf,sds/five-star.pdf
74,OVEN GUARD,Ovens,NOBLE CHEMICAL,YES,oven-guard.pdf,sds/oven-guard.pdf
75,ZEP furniture polish,FURNITURE POLISH,ZEP INC,YES,zep-furniture-polish.pdf,sds/zep-furniture-polish.pdf
76,Kool Klene,Cleaning product,ECOLAB,YES,kool-klene.pdf,sds/kool-klene.pdf
77,True Power,Detergent,ECOLAB,YES,true-power.pdf,sds/true-power.pdf
78,Industrial Max (CLR PRO MAX),Industrial descaler,CLR,YES,industrial-max-clr-pro-max.pdf,sds/industrial-max-clr-pro-max.pdf
79,TB Disinfectant Cleaner,Cleaner and disinfectant,ECOLAB,YES,tb-disinfectant-cleaner.pdf,sds/tb-disinfectant-cleaner.pdf
80,Monogram clean force,All Purpose Cleaner,CLEAN FORCE,YES,monogram-clean-force.pdf,sds/monogram-clean-force.pdf
81,Hand sanitizer Streamline polymers,Hand Sanitizer,Streamline Polymers,YES,hand-sanitizer-streamline-polymers.pdf,sds/hand-sanitizer-streamline-polymers.pdf
82,Clean Grip,Anti-Slip,CLEANGRIP,YES,clean-grip.pdf,sds/clean-grip.pdf
83,Sanitazing wash and walk,Floor Cleaner,ECOLAB,YES,sanitazing-wash-and-walk.pdf,sds/sanitazing-wash-and-walk.pdf
84,Maxx Dual Action,Floor Cleaner,ECOLAB,YES,maxx-dual-action.pdf,sds/maxx-dual-action.pdf
85,DrainGel,Drain treatment.,amguardtech,YES,draingel.pdf,sds/draingel.pdf
86,Sheila Shine,Polishing agent,Sheila Shine,YES,sheila-shine.pdf,sds/sheila-shine.pdf
87,ZEP Stainless Steel,Glass Cleaner,ZEP INC,YES,zep-stainless-steel.pdf,sds/zep-stainless-steel.pdf
88,ZEP Driveway & Concrete cleaner,DEGREASERS,ZEP INC,YES,zep-driveway-and-concrete-cleaner.pdf,sds/zep-driveway-and-concrete-cleaner.pdf
89,SmokeCheck 25S,Smoke Alarm Tester ,HSI Fire and Safety Group,YES,smokecheck-25s.pdf,sds/smokecheck-25s.pdf
90,TimeMist,Air Freshener,ZEP INC,YES,timemist.pdf,sds/timemist.pdf
