#,Chemical,Vendor,Purpose,Status,Final SDS Path,Original PDF Filename,Notes
1,Pathways Beverage Drain Control,ECOLAB,Drain Cleaner,Available,sds/001-pathways-beverage-drain-control.pdf,1 - US-Z8-918884-Pathways Beverage Drain Control (918884).pdf,Matched by same SDS number.
2,Greasestrip Plus,ECOLAB,Degreaser,Available,sds/002-greasestrip-plus.pdf,2 - US-Z8-921481-GREASESTRIP PLUS (921481).pdf,Matched by same SDS number.
3,Ecotamp Ultra Dry,ECOLAB,Rinse Additive,Available,sds/003-ecotamp-ultra-dry.pdf,3 - ECO6115172_SDS.pdf,Matched by same SDS number.
4,Pantastic,ECOLAB,Manual WareWashing Detergent,Available,sds/004-pantastic.pdf,4 -US-Z8-916228-PANTASTIC (916228).pdf,Matched by same SDS number.
5,Oasis 146 Liquid Sanatizer,ECOLAB,Sanitizer,Available,sds/005-oasis-146-liquid-sanatizer.pdf,5 - MX-Z8-910787-OASIS 146 MULTI-QUAT SANITIZER.pdf,Matched by same SDS number.
6,Trupower Dishmachine Detergent All Purpose,ECOLAB,Detergent,Available,sds/006-trupower-dishmachine-detergent-all-purpose.pdf,6 -MX-Z8-923328-01-TRUPOWER DISHMACHINE DETERGENT ALL PURPOSE.pdf,Matched by same SDS number.
7,Jet Dry E,ECOLAB,Rinse Additive,Available,sds/007-jet-dry-e.pdf,7 - US-Z8-914598-JET DRY EXTRA.pdf,Matched by same SDS number.
8,Advance Antibacterial,ECOLAB,Hand Soap,Available,sds/008-advance-antibacterial.pdf,8 - US-Z8-918592-01-ADVANCED ANTIBACTERIAL CLEAN   SMOOTH.pdf,Matched by same SDS number.
9,Clear Coffee,URNEX,Coffee Cleaner,Available,sds/009-clear-coffee.pdf,9 - clearly_coffee_us-canada_english_u0419_1.pdf,Matched by same SDS number.
10,Scotchgard,3M,Fabric and Carpet Cleaner,Available,sds/010-scotchgard.pdf,10 - Mediawebserver.pdf,Matched by same SDS number.
11,URM and Brewer Cleaner,URNEX,Coffee System Cleaner,Available,sds/011-urm-and-brewer-cleaner.pdf,11 - urnex_urn_brewer_cleaner_us_en_1.0.pdf,Matched by same SDS number.
12,Dip-it,ECOLAB,All Puepose Cleaner,Available,sds/012-dip-it.pdf,12 - US-Z8-916939-01-DIP IT XP (916939).pdf,Matched by same SDS number.
13,Softsoap,COLGATE-PALMOLIVE,Liquid Hand Soup,Available,sds/013-softsoap.pdf,13 - HANDSOAP.pdf,Matched by same SDS number.
14,Grease Express,ECOLAB,Degreaser,Available,sds/014-grease-express.pdf,14 - US-Z8-924785-01-GREASE EXPRESS FRYER CLEANER.pdf,Matched by same SDS number.
15,Rich Pink,GOJO,Antibacterial Soap,Available,sds/015-rich-pink.pdf,15 - 894645.pdf,Matched by same SDS number.
16,Medallion,ECOLAB,Metal Polish,Available,sds/016-medallion.pdf,16 -US-Z8-998690-MEDALLION.pdf,Matched by same SDS number.
17,Purell Surface Disnfectmt,PURELL,Disinfectants,Available,sds/017-purell-surface-disnfectmt.pdf,17 - 2122192.pdf,Matched by same SDS number.
18,Oasis pro Laundry,ECOLAB,Air Freshener,Available,sds/018-oasis-pro-laundry.pdf,18 - US-Z8-913354-OASIS PRO LAUNDRY FRESH ROOM REFRESHER.pdf,Matched by same SDS number.
19,RAPID MULTI SURFACE DISINFECTANT CLEANER,ECOLAB,Disinfectants,Available,sds/019-rapid-multi-surface-disinfectant-cleaner.pdf,19 - US-Z8-920209-02-RAPID MULTI SURFACE DISINFECTANT CLEANER.pdf,Matched by same SDS number.
20,Lime-A-way,ECOLAB,Delimer,Available,sds/020-lime-a-way.pdf,20- US-Z8-917352-LIME-A-WAY (917352).pdf,Matched by same SDS number.
21,LEMON-EZE,ECOLAB,Cleaning,Available,sds/021-lemon-eze.pdf,21 - US-Z8-904789-LEMON-EZE.pdf,Matched by same SDS number.
22,Glass Cleanner,ECOLAB,Glass Cleaner,Available,sds/022-glass-cleanner.pdf,22 - US-Z8-914266-03-GLASS CLEANER (914266).pdf,Matched by same SDS number.
23,A-Salt,STATE INDUST.,Urinal Drain Cleaning,Available,sds/023-a-salt.pdf,23 - LIT800025_62R05.pdf,Matched by same SDS number.
24,STAINBLASTER POWER PAK PLUS RECLAIM WHITE,ECOLAB,Laundry Product,Available,sds/024-stainblaster-power-pak-plus-reclaim-white.pdf,24 - US-Z8-975383-05-STAINBLASTER POWER PAK RECLAIM RUST REMOVER.pdf,Matched by same SDS number.
25,STAINBLASTER MAKEUP REMOVER,ECOLAB,Laundry Product,Available,sds/025-stainblaster-makeup-remover.pdf,25 - US-Z8-915495-02-STAINBLASTER MAKEUP REMOVER.pdf,Matched by same SDS number.
26,Heavy Duty Alkaline,ECOLAB,Disinfectants,Available,sds/026-heavy-duty-alkaline.pdf,26 - US-Z8-910772-66 HEAVY DUTY ALKALINE BATHROOM CLEANER AND DISINFECTANT.pdf,Matched by same SDS number.
27,SOLID SURGE PLUS,ECOLAB,Laundry detergent,Available,sds/027-solid-surge-plus.pdf,27 - US-Z8-905323-01-SOLID SURGE PLUS (905323).pdf,Matched by same SDS number.
28,HIGH PERFORMANCE NEUTRAL FLOOR CLEANER,ECOLAB,Floor Cleaner,Available,sds/028-high-performance-neutral-floor-cleaner.pdf,28 - US-Z8-914993-HIGH PERFORMANCE NEUTRAL FLOOR CLEANER.pdf,Matched by same SDS number.
29,Zep Carpet Shampoo,ZEP INC,Carpet Cleaner,Available,sds/029-zep-carpet-shampoo.pdf,32 - edc28b73-1b19-4212-9eef-9878ad7a22a3.pdf,Corrected filename number: original PDF was labeled #32 but matches master list #29.
30,AQUANOMIC BIOCARE SOLID SOUR-SOFT,ECOLAB,Laundry Product,Available,sds/030-aquanomic-biocare-solid-sour-soft.pdf,30 - US-Z8-919201-02-AQUANOMIC BIOCARE SOLID SOUR-SOFT.pdf,Matched by same SDS number.
31,Eco shine,ECOLAB,Metal Polish,Available,sds/031-eco-shine.pdf,31 - US-Z8-998674-ECO SHINE.pdf,Matched by same SDS number.
32,Zep Spary buff,ZEP INC,Floor Cleaner,Available,sds/032-zep-spary-buff.pdf,32 - 3b730a6a-5464-4555-a37c-f4576a8ac3b3.pdf,Matched by SDS number after duplicate review.
33,Husky Uric Acid,HUSKY,Cleaner and odor eliminate,Available,sds/033-husky-uric-acid.pdf,33 - 0f0982b3-8ab6-4d79-b640-12e6ab6a3664.pdf,Matched by same SDS number.
34,GREAT STUFF™,GREAT STUFF,Foam sealants,Available,sds/034-great-stufftm.pdf,34 -gaps-cracks-insulating-foam-sealant-smart-dispenser-US-SDS-000000487673.pdf,Matched by same SDS number.
35,Accu-Tab®,ACCU-TAB,Pool Chemical,Available,sds/035-accu-tab.pdf,35 - Accutab-SDS-Sheet.pdf,Matched by same SDS number.
36,Mapelastic 400,MAPEI,Protection of concrete,Available,sds/036-mapelastic-400.pdf,36 - Mapelastic 400 (English)_sah00145 04-01-2009.pdf,Matched by same SDS number.
